Round,Oblast,Recorded IDPs,IDPs remaining from last round,New IDPs,Departed IDPs,% change from last round,Change from last round,% of total IDPs this round,Share of total,Data Collected
38,Kyivska,"491,490","480,189","11,301",,2%,2% more IDPs this round,7%,7% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Lvivska,"208,694","208,694",,"1,424",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Mykolaivska,"114,137","114,137",,"1,282",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Odeska,"179,199","177,948","1,251",,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Poltavska,"163,499","162,320","1,179",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Rivnenska,"45,184","45,184",,671,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Sumska,"88,991","88,991",,136,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Ternopilska,"65,635","65,588",47,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Vinnytska,"145,905","145,905",,723,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Volynska,"44,603","44,603",,137,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Zakarpatska,"126,374","126,374",,"1,040",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Zaporizka,"159,782","159,782",,414,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
38,Zhytomyrska,"58,539","58,015",524,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2024-Oct 31 2024
39,Cherkaska,"121,260","121,260",,404,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Chernihivska,"57,466","57,466",,201,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Chernivetska,"75,285","75,285",,329,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Dnipropetrovska,"379,610","379,133",477,,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Donetska,"94,186","94,186",,"2,761",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Ivano-Frankivska,"112,025","112,025",,"1,000",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Kharkivska,"392,191","390,872","1,319",,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Khersonska,"33,036","32,914",122,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Khmelnytska,"67,404","67,404",,436,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Kirovohradska,"82,530","82,530",,430,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Kyivska,"488,817","488,817",,"2,673",-1%,-1% fewer IDPs this round,7%,7% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Lvivska,"207,109","207,109",,"1,585",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Mykolaivska,"113,252","113,252",,885,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Odeska,"179,041","179,041",,158,0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Poltavska,"162,827","162,827",,672,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Rivnenska,"44,659","44,659",,525,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Sumska,"90,309","88,991","1,318",,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Ternopilska,"64,908","64,908",,727,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Vinnytska,"144,638","144,638",,"1,267",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Volynska,"43,471","43,471",,"1,132",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Zakarpatska,"125,484","125,484",,890,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Zaporizka,"159,178","159,178",,604,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
39,Zhytomyrska,"56,898","56,898",,"1,641",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2024-Dec 31 2024
40,Cherkaska,"120,825","120,825",,435,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Chernihivska,"58,332","57,466",866,,2%,2% more IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Chernivetska,"74,883","74,883",,402,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Dnipropetrovska,"381,002","379,610","1,392",,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Donetska,"93,464","93,464",,722,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Ivano-Frankivska,"111,176","111,176",,849,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Kharkivska,"391,154","391,154",,"1,037",0%,0% fewer IDPs this round,6%,6% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Khersonska,"33,412","33,036",376,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Khmelnytska,"66,064","66,064",,"1,340",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Kirovohradska,"82,357","82,357",,173,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Kyivska,"253,803","253,803",,"235,014",-48%,-48% fewer IDPs this round,4%,4% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Lvivska,"205,918","205,918",,"1,191",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Mykolaivska,"112,294","112,294",,958,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Odeska,"178,967","178,967",,74,0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Poltavska,"161,708","161,708",,"1,119",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Rivnenska,"43,793","43,793",,866,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Sumska,"89,474","89,474",,835,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Ternopilska,"64,755","64,755",,153,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Vinnytska,"143,633","143,633",,"1,005",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Volynska,"43,107","43,107",,364,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Zakarpatska,"124,651","124,651",,833,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Zaporizka,"158,595","158,595",,583,0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jan 1 - Feb 28 2025
40,Zhytomyrska,"56,627","56,627",,271,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 - Feb 28 2025
1,Crimskaya,0,0,0,,,,,,Jan 1 - Feb 28 2025
2,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
3,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
4,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
5,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
6,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
7,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
8,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
9,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
10,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
11,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
12,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
13,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
14,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
15,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
16,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
17,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
18,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
19,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
20,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
21,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
22,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
23,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
24,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
25,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
26,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
27,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
28,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
29,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
30,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
31,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
32,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
33,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
34,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
35,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
36,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
37,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
38,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
39,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
40,Crimskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
1,Luhanskaya,0,0,0,,,,,,Jan 1 - Feb 28 2025
2,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
3,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
4,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
5,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
6,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
7,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
8,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
9,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
10,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
11,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
12,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
13,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
14,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
15,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
16,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
17,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
18,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
19,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
20,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
21,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
22,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
23,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
24,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
25,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
26,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
27,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
28,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
29,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
30,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
31,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
32,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
33,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
34,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
35,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
36,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
37,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
38,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
39,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
40,Luhanskaya,0,0,,,,,,,Jan 1 - Feb 28 2025
1,Total,"184,676",0,"184,676",,,1st round collected for this oblast,,,March 9 2022-March 16 2022
2,Total,"167,265","167,265",,"17,411",-9%,-9% fewer IDPs this round,,,March 24 2022-April 1 2022
3,Total,"806,375","167,265","639,110",,382%,382% more IDPs this round,,,April 11 2022 - April 17 2022
4,Total,"1,155,460","806,375","349,085",,43%,43% more IDPs this round,,,May 16 2022- May 31 2022
5,Total,"1,449,250","1,155,460","293,790",,25%,25% more IDPs this round,,,June 1 2022-Jun 11 2022
6,Total,"2,183,412","1,449,250","734,162",,51%,51% more IDPs this round,,,Jun 13 2022-Jun 26 2022
7,Total,"2,334,552","2,183,412","151,140",,7%,7% more IDPs this round,,,Jun 27 2022-Jul 8 2022
8,Total,"2,324,477","2,324,477",,"10,075",0%,0% fewer IDPs this round,,,Jul 12 2022-Jul 24 2022
9,Total,"2,495,756","2,324,477","171,279",,7%,7% more IDPs this round,,,Jul 25 2022-Aug 5 2022
10,Total,"3,125,303","2,495,756","629,547",,25%,25% more IDPs this round,,,Aug 8 2022-Aug 19 2022
11,Total,"3,125,303","3,125,303",,,0%,no change from last round,,,Aug 22 2022-Sep 2 2022
12,Total,"3,176,604","3,125,303","51,301",,2%,2% more IDPs this round,,,Sep 5 2022-Sep 18 2022
13,Total,"3,255,571","3,176,604","78,967",,2%,2% more IDPs this round,,,Sep 19 2022-Sep 30 2022
14,Total,"3,300,532","3,255,571","44,961",,1%,1% more IDPs this round,,,Oct 3 2022-Oct 16 2022
15,Total,"3,449,843","3,300,532","149,311",,5%,5% more IDPs this round,,,Oct 17 2022-Oct 28 2022
16,Total,"3,545,548","3,449,843","95,705",,3%,3% more IDPs this round,,,Oct 31 2022-Nov 11 2022
17,Total,"3,548,917","3,545,548","3,369",,0%,0% more IDPs this round,,,Nov 14 2022-Nov 25 2022
18,Total,"3,623,125","3,548,917","74,208",,2%,2% more IDPs this round,,,Nov 28 2022-Dec 11 2022
19,Total,"3,620,432","3,620,432",,"2,693",0%,0% fewer IDPs this round,,,Dec 12 2022-Dec 25 2022
20,Total,"3,555,185","3,555,185",,"65,247",-2%,-2% fewer IDPs this round,,,Jan 1 2023-Jan 31 2023
21,Total,"3,608,704","3,555,185","53,519",,2%,2% more IDPs this round,,,Feb 11 2023-Feb 28 2023
22,Total,"3,378,718","3,378,718",,"229,986",-6%,-6% fewer IDPs this round,,,Mar 1 2023-Mar 31 2023
23,Total,"3,624,279","3,378,718","245,561",,7%,7% more IDPs this round,,,Apr 1 2023-Apr 30 2023
24,Total,"3,381,375","3,381,375",,"242,904",-7%,-7% fewer IDPs this round,,,May 1 2023-May 31 2023
25,Total,"3,650,338","3,381,375","268,963",,8%,8% more IDPs this round,,,Jun 1 2023-Jun 30 2023
26,Total,"3,677,601","3,650,338","27,263",,1%,1% more IDPs this round,,,Jul 1 2023-Jul 31 2023
27,Total,"3,516,765","3,516,765",,"160,836",-4%,-4% fewer IDPs this round,,,Aug 1 2023-Aug 31 2023
28,Total,"3,516,338","3,516,338",,427,0%,0% fewer IDPs this round,,,Sep 1 2023-Sep 30 2023
29,Total,"3,527,731","3,516,338","11,393",,0%,0% more IDPs this round,,,Oct 1 2023-Oct 31 2023
30,Total,"3,540,799","3,527,731","13,068",,0%,0% more IDPs this round,,,Nov 1 2023-Nov 30 2023
31,Total,"3,522,045","3,522,045",,"18,754",-1%,-1% fewer IDPs this round,,,Dec 1 2023-Dec 31 2023
32,Total,"3,509,147","3,509,147",,"12,898",0%,0% fewer IDPs this round,,,Jan 1 2024-Jan 31 2024
33,Total,"3,413,472","3,413,472",,"95,675",-3%,-3% fewer IDPs this round,,,Feb 1 2024-Feb 29 2024
34,Total,"3,387,291","3,387,291",,"26,181",-1%,-1% fewer IDPs this round,,,Mar 1 2024-Mar 31 2024
35,Total,"3,366,456","3,366,456",,"20,835",-1%,-1% fewer IDPs this round,,,Apr 1 2024-Apr 30 2024
36,Total,"3,314,669","3,314,669",,"51,787",-2%,-2% fewer IDPs this round,,,May 1 2024-Jun 30 2024
37,Total,"3,303,485","3,303,485",,"11,184",0%,0% fewer IDPs this round,,,Jul 1 2024-Aug 31 2024
38,Total,"3,310,668","3,303,485","7,183",,0%,0% more IDPs this round,,,Sep 1 2024-Oct 31 2024
39,Total,"3,295,584","3,295,584",,"15,084",0%,0% fewer IDPs this round,,,Nov 1 2024-Dec 31 2024
40,Total,"3,049,994","3,049,994",,"245,590",-7%,-7% fewer IDPs this round,,,Jan 1 - Feb 28 2025
